INSTRUCTORS_NAME,TERM,NUM_COURSES
Adam Tashman,Fall2021,1
Bill Basener,Fall2021,2
Eric Tassone,Fall2021,1
Jeffrey Woo,Fall2021,1
Jeremy Bolton,Fall2021,1
Jeremy Bolton & Peter Gedeck & Eric Tassone  & Abbas Kazemipour & Cait Dreisbach & Lei Xie,Fall2021,1
Judy Fox,Fall2021,1
Marc Ruggiano,Fall2021,1
Pete Alonzi,Fall2021,1
Raf Alvarado & Teague Henry,Fall2021,1
Renee Cummings,Fall2021,1
Sree Mallikarjun,Fall2021,1
Stephen Baek,Fall2021,1
Adam Tashman,Spring2021,1
Bill Basener,Spring2021,1
Eric Field,Spring2021,1
Jason Williamson,Spring2021,1
Jeffrey Woo,Spring2021,1
Jon Kropko,Spring2021,2
Judy Fox,Spring2021,1
Luis Felipe Rosado Murillo,Spring2021,2
Mike Porter,Spring2021,1
Panagiotis Apostolellis,Spring2021,1
Pete Alonzi,Spring2021,1
Raf Alvarado,Spring2021,1
Rich Nguyen,Spring2021,1
Sree Mallikarjun,Spring2021,1
Adam Tashman,Summer2021,1
Jason Williamson,Summer2021,1
Jeffrey Woo,Summer2021,1
Jeremy Bolton,Summer2021,1
Jon Kropko,Summer2021,1
Nada Basit,Summer2021,1
Pete Alonzi,Summer2021,1
Peter Gedeck,Summer2021,1
Raf Alvarado,Summer2021,1
Raf Alvarado & Teague Henry,Summer2021,1
Renee Cummings,Summer2021,2
Rich Nguyen,Summer2021,1
Sree Mallikarjun,Summer2021,1
Teague Henry,Summer2021,1
